test_type,test_name,extra_param,n,d,h_label,mean_result
C2ST,LinearMMD_test,LL,200,10,Alternative,0.254
C2ST,CVLinearMMD_test,LL,200,10,Alternative,0.388
C2ST,CLF_test,LL,200,10,Alternative,0.136
C2ST,CVCLF_test,LL,200,10,Alternative,0.234
C2ST,CP_test,LL,200,10,Alternative,0.388
C2ST,debiased_test,LL,200,10,Alternative,0.208
CIT,RCIT_test,TRUE,200,10,Alternative,0.768
CIT,RCoT_test,TRUE,200,10,Alternative,0.8
CIT,PCM_test,TRUE,200,10,Alternative,0.878
CIT,GCM_test,TRUE,200,10,Alternative,0.592
CIT,WGSC_test,TRUE,200,10,Alternative,0.08
C2ST,LinearMMD_test,LL,200,10,Null,0.15
C2ST,CVLinearMMD_test,LL,200,10,Null,0.248
C2ST,CLF_test,LL,200,10,Null,0.072
C2ST,CVCLF_test,LL,200,10,Null,0.082
C2ST,CP_test,LL,200,10,Null,0.058
C2ST,debiased_test,LL,200,10,Null,0.054
CIT,RCIT_test,TRUE,200,10,Null,0.178
CIT,RCoT_test,TRUE,200,10,Null,0.112
CIT,PCM_test,TRUE,200,10,Null,0.726
CIT,GCM_test,TRUE,200,10,Null,0.104
CIT,WGSC_test,TRUE,200,10,Null,0.038
C2ST,LinearMMD_test,LL,500,10,Alternative,0.512
C2ST,CVLinearMMD_test,LL,500,10,Alternative,0.71
C2ST,CLF_test,LL,500,10,Alternative,0.23
C2ST,CVCLF_test,LL,500,10,Alternative,0.344
C2ST,CP_test,LL,500,10,Alternative,0.412
C2ST,debiased_test,LL,500,10,Alternative,0.37
CIT,RCIT_test,TRUE,500,10,Alternative,0.82
CIT,RCoT_test,TRUE,500,10,Alternative,0.822
CIT,PCM_test,TRUE,500,10,Alternative,0.736
CIT,GCM_test,TRUE,500,10,Alternative,0.614
CIT,WGSC_test,TRUE,500,10,Alternative,0.218
C2ST,LinearMMD_test,LL,500,10,Null,0.28
C2ST,CVLinearMMD_test,LL,500,10,Null,0.422
C2ST,CLF_test,LL,500,10,Null,0.08
C2ST,CVCLF_test,LL,500,10,Null,0.098
C2ST,CP_test,LL,500,10,Null,0.048
C2ST,debiased_test,LL,500,10,Null,0.058
CIT,RCIT_test,TRUE,500,10,Null,0.078
CIT,RCoT_test,TRUE,500,10,Null,0.058
CIT,PCM_test,TRUE,500,10,Null,0.492
CIT,GCM_test,TRUE,500,10,Null,0.152
CIT,WGSC_test,TRUE,500,10,Null,0.044
C2ST,LinearMMD_test,LL,1000,10,Alternative,0.712
C2ST,CVLinearMMD_test,LL,1000,10,Alternative,0.87
C2ST,CLF_test,LL,1000,10,Alternative,0.392
C2ST,CVCLF_test,LL,1000,10,Alternative,0.484
C2ST,CP_test,LL,1000,10,Alternative,0.462
C2ST,debiased_test,LL,1000,10,Alternative,0.46
CIT,RCIT_test,TRUE,1000,10,Alternative,0.798
CIT,RCoT_test,TRUE,1000,10,Alternative,0.796
CIT,PCM_test,TRUE,1000,10,Alternative,0.656
CIT,GCM_test,TRUE,1000,10,Alternative,0.656
CIT,WGSC_test,TRUE,1000,10,Alternative,0.34
C2ST,LinearMMD_test,LL,1000,10,Null,0.462
C2ST,CVLinearMMD_test,LL,1000,10,Null,0.632
C2ST,CLF_test,LL,1000,10,Null,0.072
C2ST,CVCLF_test,LL,1000,10,Null,0.086
C2ST,CP_test,LL,1000,10,Null,0.062
C2ST,debiased_test,LL,1000,10,Null,0.07
CIT,RCIT_test,TRUE,1000,10,Null,0.08
CIT,RCoT_test,TRUE,1000,10,Null,0.054
CIT,PCM_test,TRUE,1000,10,Null,0.312
CIT,GCM_test,TRUE,1000,10,Null,0.358
CIT,WGSC_test,TRUE,1000,10,Null,0.048
C2ST,LinearMMD_test,LL,2000,10,Alternative,0.898
C2ST,CVLinearMMD_test,LL,2000,10,Alternative,0.978
C2ST,CLF_test,LL,2000,10,Alternative,0.548
C2ST,CVCLF_test,LL,2000,10,Alternative,0.582
C2ST,CP_test,LL,2000,10,Alternative,0.542
C2ST,debiased_test,LL,2000,10,Alternative,0.522
CIT,RCIT_test,TRUE,2000,10,Alternative,0.818
CIT,RCoT_test,TRUE,2000,10,Alternative,0.812
CIT,PCM_test,TRUE,2000,10,Alternative,0.716
CIT,GCM_test,TRUE,2000,10,Alternative,0.738
CIT,WGSC_test,TRUE,2000,10,Alternative,0.436
C2ST,LinearMMD_test,LL,2000,10,Null,0.63
C2ST,CVLinearMMD_test,LL,2000,10,Null,0.886
C2ST,CLF_test,LL,2000,10,Null,0.058
C2ST,CVCLF_test,LL,2000,10,Null,0.092
C2ST,CP_test,LL,2000,10,Null,0.136
C2ST,debiased_test,LL,2000,10,Null,0.11
CIT,RCIT_test,TRUE,2000,10,Null,0.06
CIT,RCoT_test,TRUE,2000,10,Null,0.058
CIT,PCM_test,TRUE,2000,10,Null,
CIT,GCM_test,TRUE,2000,10,Null,
CIT,WGSC_test,TRUE,2000,10,Null,0.04
