test_type,test_name,extra_param,n,d,h_label,mean_result
C2ST,LinearMMD_test,LL,200,10,Alternative,0.124
C2ST,CVLinearMMD_test,LL,200,10,Alternative,0.226
C2ST,CLF_test,LL,200,10,Alternative,0.21
C2ST,CVCLF_test,LL,200,10,Alternative,0.274
C2ST,CP_test,LL,200,10,Alternative,0.628
C2ST,debiased_test,LL,200,10,Alternative,0.648
CIT,RCIT_test,TRUE,200,10,Alternative,0.826
CIT,PCM_test,TRUE,200,10,Alternative,0.826
CIT,GCM_test,TRUE,200,10,Alternative,0.804
CIT,WGSC_test,TRUE,200,10,Alternative,0.816
C2ST,LinearMMD_test,LL,200,10,Null,0.042
C2ST,CVLinearMMD_test,LL,200,10,Null,0.084
C2ST,CLF_test,LL,200,10,Null,0.012
C2ST,CVCLF_test,LL,200,10,Null,0.0300000000000001
C2ST,CP_test,LL,200,10,Null,0.03
C2ST,debiased_test,LL,200,10,Null,0.06
CIT,RCIT_test,TRUE,200,10,Null,0.064
CIT,PCM_test,TRUE,200,10,Null,0.0660000000000001
CIT,GCM_test,TRUE,200,10,Null,0.102
CIT,WGSC_test,TRUE,200,10,Null,0.01
C2ST,LinearMMD_test,LL,500,10,Alternative,0.162
C2ST,CVLinearMMD_test,LL,500,10,Alternative,0.246
C2ST,CLF_test,LL,500,10,Alternative,0.232
C2ST,CVCLF_test,LL,500,10,Alternative,0.256
C2ST,CP_test,LL,500,10,Alternative,0.68
C2ST,debiased_test,LL,500,10,Alternative,0.752
CIT,RCIT_test,TRUE,500,10,Alternative,0.844
CIT,PCM_test,TRUE,500,10,Alternative,0.846
CIT,GCM_test,TRUE,500,10,Alternative,0.842
CIT,WGSC_test,TRUE,500,10,Alternative,0.834
C2ST,LinearMMD_test,LL,500,10,Null,0.06
C2ST,CVLinearMMD_test,LL,500,10,Null,0.084
C2ST,CLF_test,LL,500,10,Null,0.022
C2ST,CVCLF_test,LL,500,10,Null,0.04
C2ST,CP_test,LL,500,10,Null,0.052
C2ST,debiased_test,LL,500,10,Null,0.082
CIT,RCIT_test,TRUE,500,10,Null,0.0420000000000001
CIT,PCM_test,TRUE,500,10,Null,0.096
CIT,GCM_test,TRUE,500,10,Null,0.084
CIT,WGSC_test,TRUE,500,10,Null,0
C2ST,LinearMMD_test,LL,1000,10,Alternative,0.226
C2ST,CVLinearMMD_test,LL,1000,10,Alternative,0.334
C2ST,CLF_test,LL,1000,10,Alternative,0.28
C2ST,CVCLF_test,LL,1000,10,Alternative,0.276
C2ST,CP_test,LL,1000,10,Alternative,0.692
C2ST,debiased_test,LL,1000,10,Alternative,0.746
CIT,RCIT_test,TRUE,1000,10,Alternative,0.806
CIT,PCM_test,TRUE,1000,10,Alternative,0.812
CIT,GCM_test,TRUE,1000,10,Alternative,0.804
CIT,WGSC_test,TRUE,1000,10,Alternative,0.792
C2ST,LinearMMD_test,LL,1000,10,Null,0.094
C2ST,CVLinearMMD_test,LL,1000,10,Null,0.138
C2ST,CLF_test,LL,1000,10,Null,0.0380000000000001
C2ST,CVCLF_test,LL,1000,10,Null,0.0460000000000001
C2ST,CP_test,LL,1000,10,Null,0.036
C2ST,debiased_test,LL,1000,10,Null,0.128
CIT,RCIT_test,TRUE,1000,10,Null,0.052
CIT,PCM_test,TRUE,1000,10,Null,0.092
CIT,GCM_test,TRUE,1000,10,Null,0.094
CIT,WGSC_test,TRUE,1000,10,Null,0
C2ST,LinearMMD_test,LL,2000,10,Alternative,0.314
C2ST,CVLinearMMD_test,LL,2000,10,Alternative,0.442
C2ST,CLF_test,LL,2000,10,Alternative,0.282
C2ST,CVCLF_test,LL,2000,10,Alternative,0.322
C2ST,CP_test,LL,2000,10,Alternative,0.752
C2ST,debiased_test,LL,2000,10,Alternative,0.788
CIT,RCIT_test,TRUE,2000,10,Alternative,0.814
CIT,PCM_test,TRUE,2000,10,Alternative,0.838
CIT,GCM_test,TRUE,2000,10,Alternative,0.814
CIT,WGSC_test,TRUE,2000,10,Alternative,0.808
C2ST,LinearMMD_test,LL,2000,10,Null,0.12
C2ST,CVLinearMMD_test,LL,2000,10,Null,0.148
C2ST,CLF_test,LL,2000,10,Null,0.042
C2ST,CVCLF_test,LL,2000,10,Null,0.062
C2ST,CP_test,LL,2000,10,Null,0.056
C2ST,debiased_test,LL,2000,10,Null,0.148
CIT,RCIT_test,TRUE,2000,10,Null,0.0460000000000001
CIT,PCM_test,TRUE,2000,10,Null,0.162
CIT,GCM_test,TRUE,2000,10,Null,0.07
CIT,WGSC_test,TRUE,2000,10,Null,0
