test_type,test_name,extra_param,n,h_label,mean_result
DRT,CLF_test,LL,200,Alternative,0.19
DRT,CLF_test,LL,200,Null,0.066
DRT,CLF_test,KLR,200,Alternative,0.31
DRT,CLF_test,KLR,200,Null,0.062
DRT,CLF_test,LL,400,Alternative,0.298
DRT,CLF_test,LL,400,Null,0.09
DRT,CLF_test,KLR,400,Alternative,0.458
DRT,CLF_test,KLR,400,Null,0.046
DRT,CLF_test,LL,800,Alternative,0.436
DRT,CLF_test,LL,800,Null,0.066
DRT,CLF_test,KLR,800,Alternative,0.676
DRT,CLF_test,KLR,800,Null,0.058
DRT,CLF_test,LL,1200,Alternative,0.488
DRT,CLF_test,LL,1200,Null,0.054
DRT,CLF_test,KLR,1200,Alternative,0.842
DRT,CLF_test,KLR,1200,Null,0.048
DRT,CLF_test,LL,1600,Alternative,0.634
DRT,CLF_test,LL,1600,Null,0.052
DRT,CLF_test,KLR,1600,Alternative,0.914
DRT,CLF_test,KLR,1600,Null,0.046
DRT,CLF_test,LL,2000,Alternative,0.696
DRT,CLF_test,LL,2000,Null,0.04
DRT,CLF_test,KLR,2000,Alternative,0.938
DRT,CLF_test,KLR,2000,Null,0.054
DRT,CP_test,LL,200,Alternative,0.406
DRT,CP_test,LL,200,Null,0.072
DRT,CP_test,KLR,200,Alternative,0.83
DRT,CP_test,KLR,200,Null,0.072
DRT,CP_test,LL,400,Alternative,0.72
DRT,CP_test,LL,400,Null,0.072
DRT,CP_test,KLR,400,Alternative,0.972
DRT,CP_test,KLR,400,Null,0.072
DRT,CP_test,LL,800,Alternative,0.904
DRT,CP_test,LL,800,Null,0.086
DRT,CP_test,KLR,800,Alternative,1
DRT,CP_test,KLR,800,Null,0.086
DRT,CP_test,LL,1200,Alternative,0.94
DRT,CP_test,LL,1200,Null,0.072
DRT,CP_test,KLR,1200,Alternative,1
DRT,CP_test,KLR,1200,Null,0.072
DRT,CP_test,LL,1600,Alternative,0.958
DRT,CP_test,LL,1600,Null,0.106
DRT,CP_test,KLR,1600,Alternative,1
DRT,CP_test,KLR,1600,Null,0.106
DRT,CP_test,LL,2000,Alternative,0.96
DRT,CP_test,LL,2000,Null,0.08
DRT,CP_test,KLR,2000,Alternative,1
DRT,CP_test,KLR,2000,Null,0.08
DRT,CV_CLF_test,LL,200,Alternative,0.304
DRT,CV_CLF_test,LL,200,Null,0.09
DRT,CV_CLF_test,KLR,200,Alternative,0.47
DRT,CV_CLF_test,KLR,200,Null,0.058
DRT,CV_CLF_test,LL,400,Alternative,0.446
DRT,CV_CLF_test,LL,400,Null,0.104
DRT,CV_CLF_test,KLR,400,Alternative,0.706
DRT,CV_CLF_test,KLR,400,Null,0.052
DRT,CV_CLF_test,LL,800,Alternative,0.692
DRT,CV_CLF_test,LL,800,Null,0.086
DRT,CV_CLF_test,KLR,800,Alternative,0.93
DRT,CV_CLF_test,KLR,800,Null,0.066
DRT,CV_CLF_test,LL,1200,Alternative,0.778
DRT,CV_CLF_test,LL,1200,Null,0.086
DRT,CV_CLF_test,KLR,1200,Alternative,0.978
DRT,CV_CLF_test,KLR,1200,Null,0.052
DRT,CV_CLF_test,LL,1600,Alternative,0.866
DRT,CV_CLF_test,LL,1600,Null,0.054
DRT,CV_CLF_test,KLR,1600,Alternative,0.996
DRT,CV_CLF_test,KLR,1600,Null,0.052
DRT,CV_CLF_test,LL,2000,Alternative,0.946
DRT,CV_CLF_test,LL,2000,Null,0.07
DRT,CV_CLF_test,KLR,2000,Alternative,1
DRT,CV_CLF_test,KLR,2000,Null,0.042
DRT,CV_LinearMMD_test,LL,200,Alternative,0.11
DRT,CV_LinearMMD_test,LL,200,Null,0.072
DRT,CV_LinearMMD_test,KLR,200,Alternative,0.18
DRT,CV_LinearMMD_test,KLR,200,Null,0.072
DRT,CV_LinearMMD_test,LL,400,Alternative,0.146
DRT,CV_LinearMMD_test,LL,400,Null,0.072
DRT,CV_LinearMMD_test,KLR,400,Alternative,0.24
DRT,CV_LinearMMD_test,KLR,400,Null,0.072
DRT,CV_LinearMMD_test,LL,800,Alternative,0.202
DRT,CV_LinearMMD_test,LL,800,Null,0.058
DRT,CV_LinearMMD_test,KLR,800,Alternative,0.444
DRT,CV_LinearMMD_test,KLR,800,Null,0.058
DRT,CV_LinearMMD_test,LL,1200,Alternative,0.248
DRT,CV_LinearMMD_test,LL,1200,Null,0.058
DRT,CV_LinearMMD_test,KLR,1200,Alternative,0.588
DRT,CV_LinearMMD_test,KLR,1200,Null,0.058
DRT,CV_LinearMMD_test,LL,1600,Alternative,0.29
DRT,CV_LinearMMD_test,LL,1600,Null,0.072
DRT,CV_LinearMMD_test,KLR,1600,Alternative,0.704
DRT,CV_LinearMMD_test,KLR,1600,Null,0.072
DRT,CV_LinearMMD_test,LL,2000,Alternative,0.278
DRT,CV_LinearMMD_test,LL,2000,Null,0.042
DRT,CV_LinearMMD_test,KLR,2000,Alternative,0.764
